mean_reversion_level,action_threshold,threshold_re,threshold_de,enabled,E[Wealth],Std,Sharpe,Trades,Broke%,Min,Median,Max
50.0,1.5,0.9,1.0,True,280.2228166844653,138.64987297338885,1.2998411958087803,79.23,2.0,-33.607123149426116,273.773662530421,648.8977484711077
50.0,1.5,0.9,1.2,True,234.39112907431448,111.95072107464826,1.2004489813397723,55.87,1.0,-7.472200377011177,232.47814747135723,494.8450358786645
50.0,1.5,0.9,1.4,True,183.9148224993464,74.80949707198397,1.1217134960632205,32.95,1.0,-12.910363881787589,171.27958627353746,376.232589279017
50.0,1.5,0.9,1.6,True,136.90637647288935,39.156651134767436,0.9425314832432119,14.01,0.0,79.93445897032052,124.55146523071105,267.3968220255615
50.0,1.5,0.9,1.8,True,105.73857651746046,12.31529479576578,0.4659715104370449,2.5,0.0,78.533980953922,100.02343432067038,180.79668410710812
50.0,1.5,0.9,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,0.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,0.2,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,0.4,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,0.6,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,0.8,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,1.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,1.2,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,1.4,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,1.6,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,1.8,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.2,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,0.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,0.2,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,0.4,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,0.6,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,0.8,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,1.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,1.2,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,1.4,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,1.6,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,1.8,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,1.5,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,2.0,0.0,0.0,True,936.2153730467737,455.92892427177003,1.834091518502394,413.96,4.0,-191.3917701552964,925.7016091246272,2056.6292892196425
50.0,2.0,0.0,0.2,True,936.2153730467737,455.92892427177003,1.834091518502394,413.96,4.0,-191.3917701552964,925.7016091246272,2056.6292892196425
50.0,2.0,0.0,0.4,True,952.1105612573106,453.430103209904,1.8792544985987565,409.39,4.0,-170.97169148306511,946.0619211704404,2063.3810510805242
50.0,2.0,0.0,0.6,True,954.3254681263755,425.7710751879391,2.006537122676238,380.24,3.0,-42.77744101459393,912.1412527817355,2061.1088522142654
